"Text";"Type";"AttPhoto";"AttLink";"AttAudio";"AttVideo";"IsAdd";"Len";"Date";"LikesNormAvg";"LikesNormFlw";"Likes";"AvgLikes";"Followers";"GroupId"
"Хренов 21 век.  Купчино. Утро. Мрак. Стоит народ на остановке, люди подтягиваются в ожидании трамвая. Подходит девушка серая неприметная. Вокруг утренняя унылая тишина, тут эта девушка вскрикивает ""&amp;#^%#^!"" и начинает звонить кому-то:  - Я забыла ключи и уже на остановке, можешь захватить с собой?  - ...  - Никуда не поедешь? Черт черт черт!  - ...!!!  - оооууу...  - ....  - аахах, круто. Давай.  Довольная кладет трубку, стоит ждет. Трамвай подошел минут через пять, все сели, проехали остановку, на следующей девушка на половину высовывается из двери, подлетает Дрон! На коптере изолентой пришмандачена связка ключей. Мадама довольная отвязывает и отправляет голубиную почту обратно в полёт. Бабуськи в ахуе. Я в восторге.";"post";0;0;0;0;0;109;1490341584;550;1.2731;33;6;2592;44923614
"Когда понимаешь, что зимняя сессия все ближе и ближе";"post";0;0;0;0;0;9;1481104958;548.7805;2.6805;675;123;25182;66036248
"Когда преодолел все испытания зимней сессии";"post";0;0;0;0;0;6;1482836637;519.5122;2.5375;639;123;25182;66036248
"Когда ты на работе, но вдруг увидел годный мемчик:";"post";1;0;0;0;0;9;1490558997;516.0618;2.1442;31423;6089;1465456;29534144
"Наверняка вы уже устали от бесконечных презентаций, но желание сделать их интересными и оригинальными не становится от этого меньше. Делимся шаблонами, которые украсят ваш доклад.";"post";1;0;0;0;0;25;1481799819;503.252;2.4581;619;123;25182;66036248
"Минуточку внимания к  kilgarra Kilgarra — удивительно аккуратный художник. Своим умением обращаться тушью и пониманием цвета она по-настоящему восхищает меня. Её работы дышат жизнью и от них веет свободой,потому что Kilgarra рисует разнообразные вещи, действительно внося в рисунки свои фантастические идеи. Я бесконечно благодарен ей за это,потому что она из тех настоящих художников,которые способны показать людям многое с помощью бумаги и карандаша. Помочь им открыть в себе любовь к тому,в чем раньше казалось нет и капли заинтересованности. Именно после просмотра её работ я стал постепенно понимать,что роботы —  тоже клевые ребята,а тема космоса перестала казаться настолько скучной. А ещё цветы на самом деле очень красивые растения серьёзно,раньше до меня это не допирало.  И как же чертовски приятно видеть в новостной ленте посты с массовыми набросками,на которых персонажи жестикулируют,ведь Kilgarra может отлично передать их эмоции и правдоподобно изобразить действия.";"post";10;0;0;0;0;138;1477642742;502.8571;1.4801;176;35;11891;55435278
"Не за горами сдача IELTS, и если вы ждали дня Х, чтобы начать готовиться к экзамену, то этот день настал. Наша сегодняшняя видео-подборка посвящена разделу Writing. Все о том, как написать эссе на максимальный балл  Work hard, Ваша The Вышка";"post";0;0;0;3;0;40;1486724826;484.5528;2.3668;596;123;25182;66036248
"К одной из проблем всех студентов Вышки можно возвращаться вечно. Вы уже поняли о чем мы? Конечно, это подготовка к IELTS. Вспоминаем про ресурсы и приложения, которые помогут вам с этим:  1. Word Power  Официальное приложение British Council. В нем вы развиваете свой словарный запас именно по темам, часто встречаемых в IELTS.  www.britishcouncil.org/english/academics/apps/ielts-word-power  2. IELTS exam Все, что вам нужно знать про экзамен IELTS, вы найдете на этом сайте. Описания тестов, задания, грамматика, советы по подготовке и примеры – с информативной точки зрения, супер-полезный ресурс. ielts-exam.net  3. IELTS Skills  Приложение от издательства MacMillan. Это приложение совмещает в себе подготовку сразу по 4 секциям. Это не просто Practice Test в мобильной версии. В каждой секции упражнения на развитие определенных навыков. Например, в Reading части, вам предстоит отработать навык Skimming.   4. Examenglish Подробное описание теста и ответы на часто задаваемые вопросы также можно найти на этом сайте. Кроме того, из списка сбоку можно выбирать практические задания по всем разделам и словарь. А чуть ниже представлены разделы с полезной литературой, ссылками на приложения и прочими полезными вещами. examenglish.com/index.html  5. Australianetwork Австралийский ресурс, размещающий видеоуроки, призванные помочь в подготовке к сдаче IELTS. legacy.australianetwork.com/studyenglish/  6. iTests Очень удобный ресурс, на котором можно пройти пробную версию всего теста. itests.com  Ваша The Вышка";"post";1;0;0;0;0;206;1479827131;481.3008;2.3509;592;123;25182;66036248
"Наш подписчик оказался в одном отделении с Алексеем Навальным ОВД Коньково.  Передают вам привет";"post";1;0;0;0;0;14;1490542662;475.1519;1.9743;28932;6089;1465456;29534144
"Хочу рассказать вам о невероятном художнике, обитающем здесь -  pixmilk Живой, смелый стиль, отличные сочные цвета, замечательное чувство композиции и анатомии. Казалось бы, круче уже некуда, но этим летом Константин удивил - нет, даже поразил! - аудиторию поистине космическими оттенками и ярким лайном.  У художника очень мягкая ненавязчивая монетизация в виде артбуков, что хорошо выделяется на фоне некоторых заносчивых крутанов с убеждением ""деньги или ничего"". Да и сам он очень вежливый и отзывчивый, общается на стримах, приветливый на встречах. Пикс так же является одним из художников Bubble, и, глядя на его работы, понимаешь, что русский комикс, долгое время плохо развивавшийся, теперь может конкурировать с мировыми комикс-гигантами. И это круто. Хочется пожелать художнику дальнейшего процветания и вдохновения.  Прикрепляю сначала старые работы, после - несколько летних. Наслаждайтесь.  P. S. Ребят, читаю пост в шапке и расстраиваюсь. Вместо того, чтобы жаловаться и ныть, что нетпостов, лучше бы сами написали про любимого художника. Или на худой конец порадуйте рисующего друга тёплыми словами ну и пиаром заодно. А для оффтопа есть и другие группы, если вам что-то нужно узнать прямвотужаскаксрочно!";"post";10;0;0;0;0;175;1468419205;468.5714;1.3792;164;35;11891;55435278
"Осторожно, просмотр фильмов из этой подборки может довести вас до слез!  http://www.cosmo.ru/lifestyle/films/10-dusherazdirayushchih-filmov-kotorye-zastavyat-vas-plakat/?utm_medium=social&amp;utm_source=vkontakte&amp;utm_campaign=20170330&amp;utm_content=weekdays";"post";0;1;0;0;0;12;1490826745;456.25;0.0357;219;48;612754;28429027
"В конце марта в российский прокат выходит научно-популярный фильм «Путешествие времени», снятый режиссером Терренсом Маликом в 2016 году. Малик, сам написавший сценарий к фильму, задумал показать историю нашей Вселенной от момента ее зарождения 14 миллиардов лет назад, сосредоточившись на формировании Земли и дальнейшем ее развитии до возникновения на ней жизни и появления человека. N + 1 предлагает своим читателям посмотреть эксклюзивный отрывок из фильма, предоставленный его прокатчиком Capella Film  https://nplus1.ru/blog/2017/03/10/voyage-of-time";"post";1;0;0;0;0;70;1489261036;455.0296;0.7308;769;169;105223;91933860
"Хочу обратить ваше внимание на  KrisArt  Изумительный художник. Каждая работа приятна на глаз, особенно хороша традишка, но и диджитал тоже на уровне. Гифки - прелесть. Короче говоря, настоящий крутан.  Желаю вам больших успехов, почаще радуйте нас обновлениями ^^";"post";8;0;0;0;0;38;1463145300;440;1.2951;154;35;11891;55435278
"Для всех, кто чувствует, что депрессия вот-вот затянет в свои темные сети, мы подготовили специальную подборку из 10 фильмов, которые помогут воспрянуть духом.";"post";0;1;0;0;0;23;1490806860;439.5833;0.0344;211;48;612754;28429027
"Огорчает регресс  michea. По сравнению с прошлогодними, работы выглядят сделанными на скорую руку. Иногда от косяков в анатомии хочется сломать себе глаза. Покрас ленивый Михей, начни стараться уже 1-3 - новые работы 4-6 - старые";"post";6;0;0;0;0;35;1483723245;431.4286;1.2699;151;35;11891;55435278
"Когда узнаешь, что не только ты лежишь весь модуль в кровати, пока горят проекты и курсовая";"post";0;0;0;0;0;16;1489230277;429.2683;2.0967;528;123;25182;66036248
"Мне очень грустно от последних работ  tomatomagica. Нет, правда. Все рисунки больше похожи на какие-то плоские логотипы, и почему-то все нарисованное имеет какую-то неправильную, я бы даже сказала, немного геометрическую форму острые углы, прямые линии. Не могу не сказать о тенях - они как будто сделаны на полупрозрачным слое полностью чёрным цветом, и подчастую лежат, где попало.  Недавно автор выложила редрав арта. Пятая картинка - перерисовка, шестая - оригинал. Думаю, комментировать тут нечего.   Вообще работы 2014-2015 годов выглядят намного лучше, чем работы 2016 года. Старые работы имеют очень приятную стилизацию, сочные краски, которых в новых работах нет.  В плане рисования автор медленно скатывается до простых плоских рисулек на скорую руку.  Тома, если ты это читаешь - we need your старый стиль, перестань скатываться, пожалуйста!";"post";7;0;0;0;0;124;1477511150;422.8571;1.2446;148;35;11891;55435278
"Поплачь. Прости. Учись. Двигайся дальше. Пусть твои слезы польют семена твоего будущего счастья.  Стив Мараболи";"post";1;0;0;0;0;15;1487786596;419.9336;1.5578;1264;301;81140;97015440
"Коротко о моей подготовке к IELTS";"post";2;0;0;0;0;6;1484636625;413.0081;2.0173;508;123;25182;66036248
"Вот она - вишенка на тортике этого лета!  Интересный вкус, великолепный аромат, небольшой градус и низкая цена!Освежает, Бодрит и щиплет - лучшее, что можно придумать для теплого вечера в душной Москве!  Алкогольный ассортимент компании ""каждый день"" в очередной раз кинул мне вызов и в это раз, я его принимаю, и я согласна пить ""Имбирный пивной напиток""  КАЖДЫЙ ДЕНЬ! Это пять из пяти, и тот случай, когда лучше деньги на проезд, потратить на извинь...";"post";1;0;1;0;0;73;1434125027;412.963;2.0378;892;216;43773;57640721
"Любому, кому хоть раз приходилось наливать вино, знакомы сбегающие по бутылке капли. Физики наконец избавили мир от этой проблемы, сделав небольшую канавку, опоясывающую горлышко бутылки  https://nplus1.ru/news/2017/03/24/drip-freebottle";"post";0;0;0;0;0;26;1490380301;403.5503;0.6481;682;169;105223;91933860
"Хотелось бы поделиться творчеством, пожалуй, одного из любимых моих художников на просторах ВК. Пришла в  как внизу, так и наверху поискать работы по любимым фендомам, осталась ради вкуснейшей акварели и замечательных карандашных зарисовок. Автор довольно разнообразен в выборе историй и сюжетов, но все его творчество неизменно объединяет приятная глазу палитра и цепляющий дизайн персонажей. Любуюсь на баланс между живостью и детализацией.  А еще радует, что можно подсмотреть всю ""кухню"" и ознакомиться с процессом рождения и создания работ! Хотелось бы пожелать автору еще больше успехов в покорении диджитала, даром что и так шагает семимильными шагами :3";"post";8;0;0;0;0;95;1474746259;402.8571;1.1858;141;35;11891;55435278
